fema_declaration_string,disaster_number,state,declaration_type,declaration_date,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,last_refresh,hash,id,county,county_ascii,county_full,state_name,lat,lng,population,total_risk,Minimum Elevation,Mean Elevation
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22085,99085,Sabine (Parish),5078,,2023-03-18T13:22:03Z,dee16b0a051b3de7cfcaac5faad9a3ee9a923eab,ccc928e0-5495-4745-a030-8a61a1caf540,Sabine,Sabine,Sabine Parish,Louisiana,31.564,-93.5547,22209.0,0,30,77.3894028595
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22087,99087,St. Bernard (Parish),5078,,2023-03-18T13:22:03Z,106e75fd1608a24f5206144df3b709089e84c707,5dc3916b-3540-4b0c-901b-bd9ef991425d,St. Bernard,St. Bernard,St. Bernard Parish,Louisiana,29.8691,-89.5549,44038.0,4,0,0.9926168991
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22089,99089,St. Charles (Parish),5078,,2023-03-18T13:22:03Z,e690fdad33833e301a25bcbce90a6214c9ddf036,99873337-945a-422a-8d38-9c920d242660,St. Charles,St. Charles,St. Charles Parish,Louisiana,29.9055,-90.3582,52191.0,3,0,1.21202775636
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22091,99091,St. Helena (Parish),5078,,2023-03-18T13:22:03Z,839763a676e8caec3527275ebdd6daa56c1d0430,efb1c18f-35e2-461e-bf4e-9b0072af3a52,St. Helena,St. Helena,St. Helena Parish,Louisiana,30.822,-90.7103,10872.0,1,27,63.9951923077
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22093,99093,St. James (Parish),5078,,2023-03-18T13:22:03Z,e9397b5dac124688fecfaf715de8b924f0fec402,783d630a-0410-4e8e-9652-9490a37abd94,St. James,St. James,St. James Parish,Louisiana,30.027,-90.7931,20090.0,0,1,1.91299303944
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22095,99095,St. John the Baptist (Parish),5078,,2023-03-18T13:22:03Z,e245ed2d8bb8b8c892b4df98f0cf1dec19cee32a,29381c43-2df5-4dc3-913a-7088d3fbf154,St. John the Baptist,St. John the Baptist,St. John the Baptist Parish,Louisiana,30.1264,-90.4709,41986.0,2,0,1.36558139535
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22097,99097,St. Landry (Parish),5078,,2023-03-18T13:22:03Z,5a35344c0f13f0fed744a515909213e89107a0a6,9013f22c-0c1b-4633-913e-9e4d93307e3a,St. Landry,St. Landry,St. Landry Parish,Louisiana,30.5989,-92.0058,82574.0,4,1,10.285757853
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22099,99099,St. Martin (Parish),5078,,2023-03-18T13:22:03Z,dc04c32c2bb7dfe1b48230232f63b2d493b9199c,76101025-38b1-4d22-9d11-7926e1d88d22,St. Martin,St. Martin,St. Martin Parish,Louisiana,30.1291,-91.6083,51856.0,3,1,2.47305389222
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22101,99101,St. Mary (Parish),5078,,2023-03-18T13:22:03Z,c9a42cb33338ea4f9cd6d5fdb86939d09a535ec3,41eba142-0f48-44e4-bbd3-b85b3212a49b,St. Mary,St. Mary,St. Mary Parish,Louisiana,29.7207,-91.4486,49114.0,3,0,1.1754910333
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22103,99103,St. Tammany (Parish),5078,,2023-03-18T13:22:03Z,22fc45f3765b95514438048ec41a4668f3c2cc0e,8ae751f5-3cd7-4404-bc3c-9797c2bfcc12,St. Tammany,St. Tammany,St. Tammany Parish,Louisiana,30.4103,-89.9584,266168.0,1,0,14.4833389431
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22105,99105,Tangipahoa (Parish),5078,,2023-03-18T13:22:03Z,0566bff4fe38b2e4077bfe26370ef58d18d279fc,cafe8d45-6785-465e-b929-e6253b717c59,Tangipahoa,Tangipahoa,Tangipahoa Parish,Louisiana,30.6266,-90.4057,133953.0,2,1,35.9010079194
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22107,99107,Tensas (Parish),5078,,2023-03-18T13:22:03Z,707474489c88f0a051d1ac390c7e378b0a4d059c,5d4cdee2-1c8e-4dfc-96c1-26c24d98129d,Tensas,Tensas,Tensas Parish,Louisiana,32.0019,-91.3401,4127.0,2,8,18.4978503869
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22109,99109,Terrebonne (Parish),5078,,2023-03-18T13:22:03Z,0816a8d45aa3ecb597235e4fc7fc6fd964fd5890,a3956e1a-86f6-4b4d-acc2-c5b7326544dc,Terrebonne,Terrebonne,Terrebonne Parish,Louisiana,29.4148,-90.8663,108862.0,5,0,1.0336978353
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22111,99111,Union (Parish),5078,,2023-03-18T13:22:03Z,a3ceecbbee5fdfe1233c7ee7cd9c3681d0ea7222,8ec68b46-4124-472f-882b-08a793783cbc,Union,Union,Union Parish,Louisiana,32.8318,-92.3748,21049.0,3,15,45.1868781095
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22113,99113,Vermilion (Parish),5078,,2023-03-18T13:22:03Z,4f88e2aefd668b4b6236a9d00ecc53fb21ccd968,6153d597-141b-4fec-b769-608687054ccb,Vermilion,Vermilion,Vermilion Parish,Louisiana,29.8465,-92.3242,57202.0,2,0,1.86736280826
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22115,99115,Vernon (Parish),5078,,2023-03-18T13:22:03Z,03771b8fae8c4f94ed29931e4d13892ea6fa5e0b,1bdb1f3c-1b97-4141-a217-34834882c012,Vernon,Vernon,Vernon Parish,Louisiana,31.1083,-93.1843,48452.0,5,21,76.5596561124
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22117,99117,Washington (Parish),5078,,2023-03-18T13:22:03Z,b0e810ffbf7ef347e31aac264c284371a4fc0393,9ae2c9ed-8a6f-4c15-83db-7398f67d4c20,Washington,Washington,Washington Parish,Louisiana,30.8533,-90.0405,45514.0,0,12,62.193843594
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22119,99119,Webster (Parish),5078,,2023-03-18T13:22:03Z,7feed9860a3cc5a51cb7ccd21c88896b1aac5da8,8daf5b8a-3d26-4bd3-b6d2-51c5b0a00ba5,Webster,Webster,Webster Parish,Louisiana,32.7135,-93.335,36761.0,4,42,69.6335460346
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22121,99121,West Baton Rouge (Parish),5078,,2023-03-18T13:22:03Z,27fc7c9fcf51d81a33200505443ede84b912e927,c806473a-3914-4356-8bb7-094f74b27f51,West Baton Rouge,West Baton Rouge,West Baton Rouge Parish,Louisiana,30.4636,-91.3127,27377.0,2,1,4.59169054441
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22123,99123,West Carroll (Parish),5078,,2023-03-18T13:22:03Z,c40b2d15451d44ec98d9f7bb37208d7303f735b9,3443f713-e0df-4df9-bbc7-714e6b7958df,West Carroll,West Carroll,West Carroll Parish,Louisiana,32.7885,-91.4568,9800.0,2,22,29.0823170732
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22125,99125,West Feliciana (Parish),5078,,2023-03-18T13:22:03Z,d61c4a41fdd17bb7136093162ecab0f196aa19d3,9e426f69-33d3-4960-9a61-ebc0dac723dc,West Feliciana,West Feliciana,West Feliciana Parish,Louisiana,30.8798,-91.42,15358.0,4,1,41.8532974428
EM-3212-LA,3212,LA,EM,2005-08-27T00:00:00Z,2005,Hurricane,Hurricane Katrina,0,0,1,0,2005-08-26T00:00:00Z,2005-11-01T00:00:00Z,2010-09-22T00:00:00Z,22127,99127,Winn (Parish),5078,,2023-03-18T13:22:03Z,c86da0fe7bb6bd7cb433916ec5f6e93d871291aa,b9ead404-724e-4170-bfda-5c3e4310b1d1,Winn,Winn,Winn Parish,Louisiana,31.9442,-92.6369,13665.0,0,18,50.2259009669
